tower,level,zone,segment,length_m,rebar_pc13,fwk_pc13,concrete_pc13,rebar_pc14,fwk_pc14,concrete_pc14
T3,L3,Z10,S1,26.586,100%,100%,100%,100%,100%,100%
T3,L3,Z10,S2,22.557,100%,0%,0%,100%,100%,0%
T3,L3,Z12,S1,17.646,100%,100%,100%,100%,100%,100%
T3,L3,Z11,S1,7.474,100%,100%,100%,100%,100%,100%
T3,L3,Z11,S2,22.926,100%,100%,100%,100%,100%,100%
T3,L3,Z11,S3,3.063,100%,100%,100%,100%,100%,100%
T3,L3,Z14,S1,39.078,100%,0%,0%,100%,100%,0%
T3,L4,Z16,S1,49.641,100%,100%,100%,100%,100%,100%
T3,L4,Z16,S2,22.926,100%,0%,0%,100%,100%,100%
T3,L4,Z16,S3,3.063,100%,0%,0%,100%,100%,100%
T3,L4,Z17,S1,17.754,0%,0%,0%,0%,0%,0%
T3,L4,Z15,S1,48.908,100%,0%,0%,100%,100%,0%
T3,L4,Z19,S1,26.6,0%,0%,0%,100%,0%,0%
T3,L4,Z19,S2,39.1,0%,0%,0%,0%,0%,0%
