Tower,Level,SOW,Zone,Total_area_m2,%_progress_PC13,%_progress_PC14
T3,L3,4,Zone10,729,0.90,0.90
T3,L3,4,Zone11,343,1.00,1.00
T3,L3,4,Zone12,838,0.90,0.90
T3,L3,4,Zone14,791,0.75,0.75
T3,L4,4,Zone15,638,0.90,0.90
T3,L4,4,Zone16,1182,0.90,1.00
T3,L4,4,Zone17,858,0.00,0.00
T3,L4,4,Zone19,1128,0.00,0.21
T4,L1M,5,Zone 16,901,1.00,1.00
T4,L1M,5,Zone 17,366,1.00,1.00
T4,L1M,5,Zone 18,370,1.00,1.00
T4,L2,6,Zone 22,1605,0.90,0.90
T4,L2,6,Zone 23,1265,0.90,0.90
T4,L2,6,Zone 24,1687,0.90,0.90
T4,L2,6,Zone 25,1372,0.00,0.00
T4,L2,6,Zone 26,1773,0.09,0.09
T4,L3,6,Zone 30,1446,0.90,0.90
T4,L3,6,Zone 31,1280,0.90,0.90
T4,L3,6,Zone 32,1925,0.50,0.75
T4,L3,6,Zone 33,1314,0.00,0.00
T4,L3,6,Zone 34,2034,0.00,0.00
